gene	ID	chr	start	end	discription
OR4F5	ENSG00000186092	1	69091	70008	olfactory receptor, family 4, subfamily F, member 5 
OR4F29	ENSG00000235249	1	367640	368634	olfactory receptor, family 4, subfamily F, member 29 
OR4F16	ENSG00000185097	1	621059	622053	olfactory receptor, family 4, subfamily F, member 16 
SAMD11	ENSG00000187634	1	860260	879955	sterile alpha motif domain containing 11 
NOC2L	ENSG00000188976	1	879584	894689	nucleolar complex associated 2 homolog (S. cerevisiae) 
KLHL17	ENSG00000187961	1	895967	901095	kelch-like family member 17 
PLEKHN1	ENSG00000187583	1	901877	911245	pleckstrin homology domain containing, family N member 1 
C1orf170	ENSG00000187642	1	910579	917497	chromosome 1 open reading frame 170 
HES4	ENSG00000188290	1	934342	935552	hairy and enhancer of split 4 (Drosophila) 
ISG15	ENSG00000187608	1	948803	949920	ISG15 ubiquitin-like modifier 
AGRN	ENSG00000188157	1	955503	991496	agrin 
RNF223	ENSG00000237330	1	1006346	1009687	ring finger protein 223 
C1orf159	ENSG00000131591	1	1017198	1051741	chromosome 1 open reading frame 159 
TTLL10	ENSG00000162571	1	1109264	1133315	tubulin tyrosine ligase-like family, member 10 
TNFRSF18	ENSG00000186891	1	1138888	1142071	tumor necrosis factor receptor superfamily, member 18 
TNFRSF4	ENSG00000186827	1	1146706	1149518	tumor necrosis factor receptor superfamily, member 4 
SDF4	ENSG00000078808	1	1152288	1167411	stromal cell derived factor 4 
B3GALT6	ENSG00000176022	1	1167629	1170421	UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6 
FAM132A	ENSG00000184163	1	1177826	1182102	family with sequence similarity 132, member A 
UBE2J2	ENSG00000160087	1	1189289	1209265	ubiquitin-conjugating enzyme E2, J2 
SCNN1D	ENSG00000162572	1	1215816	1227409	sodium channel, non-voltage-gated 1, delta subunit 
ACAP3	ENSG00000131584	1	1227756	1244989	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 
PUSL1	ENSG00000169972	1	1243947	1247057	pseudouridylate synthase-like 1 
CPSF3L	ENSG00000127054	1	1246965	1260071	cleavage and polyadenylation specific factor 3-like 
GLTPD1	ENSG00000224051	1	1260136	1264277	glycolipid transfer protein domain containing 1 
TAS1R3	ENSG00000169962	1	1266694	1270686	taste receptor, type 1, member 3 
DVL1	ENSG00000107404	1	1270656	1284730	dishevelled segment polarity protein 1 
MXRA8	ENSG00000162576	1	1288069	1297157	matrix-remodelling associated 8 
AURKAIP1	ENSG00000175756	1	1309110	1310875	aurora kinase A interacting protein 1 
CCNL2	ENSG00000221978	1	1321091	1334708	cyclin L2 
MRPL20	ENSG00000242485	1	1337288	1342693	mitochondrial ribosomal protein L20 
ANKRD65	ENSG00000235098	1	1353800	1357149	ankyrin repeat domain 65 
TMEM88B	ENSG00000205116	1	1361508	1363167	transmembrane protein 88B 
VWA1	ENSG00000179403	1	1370241	1378262	von Willebrand factor A domain containing 1 
ATAD3C	ENSG00000215915	1	1385069	1405538	ATPase family, AAA domain containing 3C 
ATAD3B	ENSG00000160072	1	1407143	1433228	ATPase family, AAA domain containing 3B 
ATAD3A	ENSG00000197785	1	1447531	1470067	ATPase family, AAA domain containing 3A 
TMEM240	ENSG00000205090	1	1470554	1475833	transmembrane protein 240 
SSU72	ENSG00000160075	1	1477053	1510249	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae) 
C1orf233	ENSG00000228594	1	1533392	1535476	chromosome 1 open reading frame 233 
MIB2	ENSG00000197530	1	1550795	1565990	mindbomb E3 ubiquitin protein ligase 2 
MMP23B	ENSG00000189409	1	1567474	1570639	matrix metallopeptidase 23B 
CDK11B	ENSG00000248333	1	1570603	1590473	cyclin-dependent kinase 11B 
SLC35E2B	ENSG00000189339	1	1592939	1624167	solute carrier family 35, member E2B 
CDK11A	ENSG00000008128	1	1634169	1655766	cyclin-dependent kinase 11A 
SLC35E2	ENSG00000215790	1	1656277	1677431	solute carrier family 35, member E2 
NADK	ENSG00000008130	1	1682671	1711896	NAD kinase 
GNB1	ENSG00000078369	1	1716729	1822495	guanine nucleotide binding protein (G protein), beta polypeptide 1 
CALML6	ENSG00000169885	1	1846266	1848735	calmodulin-like 6 
TMEM52	ENSG00000178821	1	1849029	1850712	transmembrane protein 52 
C1orf222	ENSG00000142609	1	1853396	1935276	chromosome 1 open reading frame 222 
GABRD	ENSG00000187730	1	1950780	1962192	gamma-aminobutyric acid (GABA) A receptor, delta 
PRKCZ	ENSG00000067606	1	1981909	2116834	protein kinase C, zeta 
C1orf86	ENSG00000162585	1	2115903	2144159	chromosome 1 open reading frame 86 
SKI	ENSG00000157933	1	2160134	2241558	v-ski avian sarcoma viral oncogene homolog 
MORN1	ENSG00000116151	1	2252692	2323146	MORN repeat containing 1 
RER1	ENSG00000157916	1	2323267	2336883	RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae) 
